protein,symbol,entrez,contrast,log2FC,percentControl,Pvalue,FDR,Padjust,Tstatistic,SE,DF,isSingular
Q8BGA3,Lrrtm2,107065,Mutant-Control,-0.0123103280152828,0.991503432446799,0.740305253101451,0.905216890233861,1,-0.334168100567577,0.0368387287547015,34.0000909788548,FALSE
Q8BGA5,Krr1,52705,Mutant-Control,0.0104277438452476,1.00725414600728,0.756947703783289,0.912793013307464,1,0.311997591145222,0.0334225139590706,34.0002265989913,FALSE
Q8BGA7,E130309D02Rik,231868,Mutant-Control,0.0985042546204031,1.07066285397259,0.524415305436154,0.799175700382592,1,0.675681861407367,0.145784962193939,5.99999871111151,FALSE
Q8BGA9,Oxa1l,69089,Mutant-Control,-0.17184242407801,0.887708290408918,0.091250221634757,0.342258277642761,1,-1.7380638479528,0.0988700295909248,33.9999672048115,FALSE
Q8BGB5,Limd2,67803,Mutant-Control,0.0823766897094886,1.05876080272685,0.0106911920527511,0.0975218523695503,1,2.70135418328936,0.030494590535026,34.0000717019513,FALSE
Q8BGB7,Enoph1,67870,Mutant-Control,-0.0617240099520799,0.958118490410603,0.139351472079662,0.434141709975744,1,-1.51366780928612,0.0407777780391527,34.0000336961384,FALSE
Q8BGC0,Htatsf1,72459,Mutant-Control,0.0268888117778952,1.01881267389917,0.358329569104359,0.673898277854212,1,0.931172337785984,0.0288763000003069,34.0000988594365,FALSE
Q8BGC1,6030458C11Rik,77877,Mutant-Control,-0.0325541003716925,0.977687897695828,0.733993150010471,0.901230763340932,1,-0.344598885393135,0.0944695463380656,20.0000059552521,FALSE
Q8BGC4,Zadh2,225791,Mutant-Control,-0.0341163005354828,0.976629796351852,0.516263875097546,0.794530474920972,1,-0.655961211660301,0.0520096309492617,34.0000542527613,FALSE
Q8BGC9,Creg2,263764,Mutant-Control,0.0907647522994592,1.06493453964535,0.201020165475496,0.518162455438493,1,1.30392032616696,0.0696091244825315,34.0000097403681,FALSE
Q8BGD5,Cpt1c,78070,Mutant-Control,0.0364720118915205,1.02560273325604,0.209637405385309,0.526559097127256,1,1.27877135174776,0.0285211361997377,34.0000892818228,FALSE
Q8BGD8,Coa6,67892,Mutant-Control,-0.0447961642318475,0.969426775812047,0.515335336564979,0.793672030037035,1,-0.657422868977034,0.0681390416210368,34.0000334858067,FALSE
Q8BGD9,Eif4b,75705,Mutant-Control,0.00323974960558804,1.00224814660529,0.896516960323202,0.968259716628356,1,0.131038767175017,0.0247235965007285,33.999413752891,FALSE
Q8BGE6,Atg4b,66615,Mutant-Control,0.026760649774209,1.01872217156125,0.407918359510428,0.716176009428087,1,0.837936720777918,0.031936361196064,34.000064054182,FALSE
Q8BGF3,Wdr92,103784,Mutant-Control,-0.124007203244257,0.917635300630883,0.47405638357318,0.765769630737057,1,-0.729662630434397,0.169951424222494,20.0000021035647,FALSE
Q8BGF6,Elmod2,244548,Mutant-Control,-0.00705403072573763,0.995122452547214,0.883425625273912,0.963542686182717,1,-0.147733638177275,0.0477483043995238,34.0000252901431,FALSE
Q8BGF7,Pan2,103135,Mutant-Control,-0.0309484546842054,0.978776619983714,0.572720488610154,0.826041021386011,1,-0.569559769269802,0.054337501266781,34.0000171934521,FALSE
Q8BGF8,Slc35d3,76157,Mutant-Control,-0.205827287135168,0.867041355535114,0.000698325912730285,0.0152935160887709,1,-3.72927424507043,0.055192317220232,34.0000202603893,FALSE
Q8BGG7,Ubash3b,72828,Mutant-Control,-0.0253166307497832,0.982604920894837,0.462270136493521,0.757150318480988,1,-0.743526898165629,0.0340493811484727,34.000063013519,FALSE
Q8BGH2,Samm50,68653,Mutant-Control,-0.0631645675460755,0.957162268917133,0.22960165237727,0.55065618282893,1,-1.22336924490447,0.0516316458086273,33.9998818290256,FALSE
Q8BGH4,Reep1,52250,Mutant-Control,0.0625518430005139,1.04431130890213,0.0987539712873506,0.35786299455505,1,1.6974213034019,0.0368511004752621,34.0000846893688,FALSE
Q8BGI5,Pex26,74043,Mutant-Control,0.0156729787676495,1.01092290509612,0.7188664339203,0.895498162746928,1,0.362980470962877,0.0431785730126854,34.0000298739778,FALSE
Q8BGJ9,U2af1l4,233073,Mutant-Control,-0.0628895719966742,0.957344733294007,0.40662853168156,0.715547619976314,1,-0.840267860329785,0.0748446715217592,34.0000190882625,FALSE
Q8BGK6,Slc7a6,330836,Mutant-Control,-0.019573854313208,0.986524062596578,0.874509651200268,0.961001715806198,1,-0.164804993094163,0.118769789347488,5.99999990271425,FALSE
Q8BGK9,6430571L13Rik,235599,Mutant-Control,-0.1999712809649,0.870567893099251,2.37986916046417e-05,0.00121831520426604,0.203788196210547,-4.89061971130889,0.0408887406441547,34.0000811111429,FALSE
Q8BGN2,D3Ertd751e,73852,Mutant-Control,-0.0622114094577393,0.957794854721162,0.222953736939405,0.54276255445216,1,-1.24140215966127,0.0501138240928423,34.0000364285059,FALSE
Q8BGN3,Enpp6,320981,Mutant-Control,-0.133725143792536,0.911474914473929,0.0127403326899086,0.10683571516416,1,-2.62978570990068,0.0508502055087928,34.000023083374,FALSE
Q8BGN5,Nipal3,74552,Mutant-Control,-0.0448997921339895,0.969357144980638,0.365185021329401,0.681500826996779,1,-0.917807093993651,0.0489207290157426,34.0000323954383,FALSE
Q8BGN8,Synpr,72003,Mutant-Control,0.0237544219266796,1.01660161085851,0.670255168311127,0.87437462008656,1,0.429519281074393,0.0553046696000717,34.0000238169831,FALSE
Q8BGQ1,Vipas39,104799,Mutant-Control,0.0157665073149706,1.01098844439095,0.779599644471649,0.922972655209091,1,0.282070141068296,0.0558956976277514,34.0000192135532,FALSE
Q8BGQ2,Csrnp2,207785,Mutant-Control,0.0290356051322096,1.020329840267,0.787467071525426,0.926555560063545,1,0.281932695287338,0.102987718762513,6.0000019572626,FALSE
Q8BGQ4,Pomt2,217734,Mutant-Control,0.0716441850172496,1.05091368801835,0.176527553344987,0.484901070341294,1,1.38021871173381,0.0519078493923991,34.0000273603097,FALSE
